;min_counts;ang_err;score;llh_score
12;10;12;0.020378457153897238;1.078003232341855
1;150;12;0.022092345502248385;1.0648207037554194
5;150;12;0.022092345502248385;1.0648207037554194
6;150;15;0.02827260068243961;1.0614759010844783
8;50;12;0.030320924017290547;1.0604432290003576
4;300;10;0.031122252766952685;1.069841258051321
10;100;15;0.031156951892286486;1.0894151031492312
11;500;15;0.03175972464511003;1.0623200009637668
7;300;12;0.03200279880804563;1.1143514419238632
0;50;8;0.03223916366965834;1.0715668582412614
9;500;10;0.03324732550138094;1.1084643227138686
3;1000;12;0.035659445632050764;1.0445819532371083
14;1000;15;0.03851766839919765;1.0778955560919437
15;10;8;0.04258862074701447;1.0844711452714575
13;500;8;0.046367390404004005;1.1050382005910908
16;150;5;0.06807022765055791;1.0883672083526377
2;300;5;0.07036797164953366;1.087601444428206
